winStart(sec): 1210, winEnd(sec): 1275, packCount: 167 , mostActC: 28, S-SA: 13, avSize: 128.640719, avTimeMostAct: 1.534528, F-S: -11 , susComb: 0 
winStart(sec): 1220, winEnd(sec): 1285, packCount: 202 , mostActC: 34, S-SA: 15, avSize: 122.608911, avTimeMostAct: 1.770689, F-S: -13 , susComb: 0 
winStart(sec): 1230, winEnd(sec): 1295, packCount: 176 , mostActC: 22, S-SA: 15, avSize: 128.596591, avTimeMostAct: 1.956525, F-S: -14 , susComb: 0 
winStart(sec): 1240, winEnd(sec): 1305, packCount: 171 , mostActC: 22, S-SA: 15, avSize: 128.368421, avTimeMostAct: 1.956525, F-S: -14 , susComb: 0 
winStart(sec): 1250, winEnd(sec): 1315, packCount: 184 , mostActC: 21, S-SA: 12, avSize: 130.217391, avTimeMostAct: 2.869855, F-S: -10 , susComb: 0 
winStart(sec): 1260, winEnd(sec): 1325, packCount: 169 , mostActC: 19, S-SA: 8, avSize: 131.840237, avTimeMostAct: 2.962531, F-S: -6 , susComb: 0 
winStart(sec): 1270, winEnd(sec): 1335, packCount: 143 , mostActC: 18, S-SA: 4, avSize: 136.496503, avTimeMostAct: 2.686145, F-S: -3 , susComb: 0 
winStart(sec): 1280, winEnd(sec): 1345, packCount: 128 , mostActC: 21, S-SA: 1, avSize: 142.132813, avTimeMostAct: 2.874610, F-S: 0 , susComb: 0 
winStart(sec): 1290, winEnd(sec): 1355, packCount: 111 , mostActC: 22, S-SA: 0, avSize: 138.144144, avTimeMostAct: 1.998158, F-S: 1 , susComb: 0 
winStart(sec): 1300, winEnd(sec): 1365, packCount: 115 , mostActC: 28, S-SA: 0, avSize: 126.573913, avTimeMostAct: 2.013697, F-S: 1 , susComb: 0 
winStart(sec): 1310, winEnd(sec): 1375, packCount: 124 , mostActC: 33, S-SA: 0, avSize: 127.153226, avTimeMostAct: 1.793435, F-S: 1 , susComb: 0 
winStart(sec): 1320, winEnd(sec): 1385, packCount: 99 , mostActC: 32, S-SA: 0, avSize: 131.363636, avTimeMostAct: 1.897133, F-S: 0 , susComb: 0 
winStart(sec): 1330, winEnd(sec): 1395, packCount: 108 , mostActC: 34, S-SA: 1, avSize: 135.175926, avTimeMostAct: 1.658335, F-S: -1 , susComb: 0 
winStart(sec): 1340, winEnd(sec): 1405, packCount: 107 , mostActC: 34, S-SA: 1, avSize: 135.299065, avTimeMostAct: 1.883373, F-S: -1 , susComb: 0 
winStart(sec): 1350, winEnd(sec): 1415, packCount: 124 , mostActC: 34, S-SA: 1, avSize: 135.677419, avTimeMostAct: 1.628527, F-S: 0 , susComb: 0 
winStart(sec): 1360, winEnd(sec): 1425, packCount: 170 , mostActC: 38, S-SA: 4, avSize: 132.535294, avTimeMostAct: 1.498657, F-S: -2 , susComb: 0 
winStart(sec): 1370, winEnd(sec): 1435, packCount: 189 , mostActC: 38, S-SA: 9, avSize: 137.142857, avTimeMostAct: 1.464236, F-S: -7 , susComb: 0 
winStart(sec): 1380, winEnd(sec): 1445, packCount: 194 , mostActC: 38, S-SA: 13, avSize: 133.726804, avTimeMostAct: 1.590160, F-S: -11 , susComb: 0 
winStart(sec): 1390, winEnd(sec): 1455, packCount: 212 , mostActC: 36, S-SA: 14, avSize: 172.764151, avTimeMostAct: 1.750097, F-S: -12 , susComb: 0 
winStart(sec): 1400, winEnd(sec): 1465, packCount: 203 , mostActC: 32, S-SA: 13, avSize: 172.975369, avTimeMostAct: 1.753164, F-S: -11 , susComb: 0 
winStart(sec): 1410, winEnd(sec): 1475, packCount: 185 , mostActC: 29, S-SA: 13, avSize: 177.572973, avTimeMostAct: 1.716261, F-S: -12 , susComb: 0 
winStart(sec): 1420, winEnd(sec): 1485, packCount: 152 , mostActC: 32, S-SA: 11, avSize: 188.322368, avTimeMostAct: 1.976315, F-S: -11 , susComb: 0 
winStart(sec): 1430, winEnd(sec): 1495, packCount: 149 , mostActC: 35, S-SA: 7, avSize: 188.523490, avTimeMostAct: 1.843031, F-S: -7 , susComb: 0 
winStart(sec): 1440, winEnd(sec): 1505, packCount: 278 , mostActC: 50, S-SA: 3, avSize: 263.341727, avTimeMostAct: 1.254077, F-S: 4 , susComb: 0 
winStart(sec): 1450, winEnd(sec): 1515, packCount: 469 , mostActC: 63, S-SA: 0, avSize: 383.021322, avTimeMostAct: 0.907949, F-S: 8 , susComb: 0 
winStart(sec): 1460, winEnd(sec): 1525, packCount: 520 , mostActC: 63, S-SA: 4, avSize: 350.563462, avTimeMostAct: 0.475845, F-S: 6 , susComb: 0 
winStart(sec): 1470, winEnd(sec): 1535, packCount: 583 , mostActC: 65, S-SA: 4, avSize: 359.897084, avTimeMostAct: 0.578910, F-S: 9 , susComb: 0 
winStart(sec): 1480, winEnd(sec): 1545, packCount: 691 , mostActC: 78, S-SA: 4, avSize: 363.532562, avTimeMostAct: 0.510044, F-S: 12 , susComb: 0 
winStart(sec): 1490, winEnd(sec): 1555, packCount: 695 , mostActC: 78, S-SA: 4, avSize: 367.404317, avTimeMostAct: 0.510044, F-S: 12 , susComb: 0 
winStart(sec): 1500, winEnd(sec): 1565, packCount: 576 , mostActC: 67, S-SA: 4, avSize: 372.366319, avTimeMostAct: 0.852274, F-S: 5 , susComb: 0 
winStart(sec): 1510, winEnd(sec): 1575, packCount: 495 , mostActC: 58, S-SA: 6, avSize: 277.933333, avTimeMostAct: 0.485710, F-S: 3 , susComb: 0 
winStart(sec): 1520, winEnd(sec): 1585, packCount: 588 , mostActC: 60, S-SA: 3, avSize: 301.416667, avTimeMostAct: 0.633998, F-S: 12 , susComb: 0 
winStart(sec): 1530, winEnd(sec): 1595, packCount: 536 , mostActC: 68, S-SA: 2, avSize: 298.264925, avTimeMostAct: 0.834816, F-S: 10 , susComb: 0 
winStart(sec): 1540, winEnd(sec): 1605, packCount: 415 , mostActC: 66, S-SA: 2, avSize: 260.836145, avTimeMostAct: 0.848414, F-S: 10 , susComb: 0 
winStart(sec): 1550, winEnd(sec): 1615, packCount: 396 , mostActC: 57, S-SA: 2, avSize: 262.126263, avTimeMostAct: 1.002232, F-S: 10 , susComb: 0 
winStart(sec): 1560, winEnd(sec): 1625, packCount: 391 , mostActC: 51, S-SA: 2, avSize: 263.503836, avTimeMostAct: 1.261412, F-S: 10 , susComb: 0 
winStart(sec): 1570, winEnd(sec): 1635, packCount: 295 , mostActC: 38, S-SA: 2, avSize: 307.067797, avTimeMostAct: 1.695581, F-S: 10 , susComb: 0 
winStart(sec): 1580, winEnd(sec): 1645, packCount: 149 , mostActC: 22, S-SA: -1, avSize: 209.147651, avTimeMostAct: 2.564918, F-S: 8 , susComb: 0 
winStart(sec): 1590, winEnd(sec): 1655, packCount: 143 , mostActC: 24, S-SA: 1, avSize: 208.104895, avTimeMostAct: 2.472731, F-S: 4 , susComb: 0 
winStart(sec): 1600, winEnd(sec): 1665, packCount: 135 , mostActC: 26, S-SA: 0, avSize: 215.644444, avTimeMostAct: 2.476111, F-S: -1 , susComb: 0 
